CustomerID,SignupDate,ChurnDate,Plan,MonthlyCharge,TenureMonths,IsChurned,ChurnReason,TotalCharges,SupportTickets,UsageFrequency
CUST-0001,2024-04-12,2024-07-11,Standard,19.99,3,1,Price too high,59.97,8,Medium
CUST-0002,2024-12-14,,Premium,29.99,15,0,N/A,449.85,4,Medium
CUST-0003,2024-09-27,,Basic,9.99,16,0,N/A,159.84,1,High
CUST-0004,2024-04-16,,Basic,9.99,13,0,N/A,129.87,0,Medium
CUST-0005,2024-03-12,2025-08-04,Basic,9.99,17,1,Price too high,169.83,1,Low
CUST-0006,2024-07-07,,Basic,9.99,3,0,N/A,29.97,3,Medium
CUST-0007,2024-01-21,,Standard,19.99,20,0,N/A,399.8,9,High
CUST-0008,2024-04-12,,Premium,29.99,11,0,N/A,329.89,8,High
CUST-0009,2024-05-01,,Basic,9.99,21,0,N/A,209.79,9,High
CUST-0010,2024-08-02,,Basic,9.99,19,0,N/A,189.81,9,High
CUST-0011,2024-11-26,2026-09-17,Basic,9.99,22,1,Other,219.78,1,High
CUST-0012,2024-03-28,,Premium,29.99,11,0,N/A,329.89,1,Medium
CUST-0013,2024-04-09,,Basic,9.99,16,0,N/A,159.84,0,Medium
CUST-0014,2024-12-25,2026-09-16,Standard,19.99,21,1,Found better alternative,419.79,4,Medium
CUST-0015,2024-05-31,2024-08-29,Basic,9.99,3,1,Found better alternative,29.97,4,Low
CUST-0016,2024-05-10,,Basic,9.99,22,0,N/A,219.78,5,Medium
CUST-0017,2024-05-29,,Premium,29.99,6,0,N/A,179.94,4,Medium
CUST-0018,2024-11-04,2025-12-29,Premium,29.99,14,1,Technical issues,419.86,4,Medium
CUST-0019,2024-09-14,2026-03-08,Basic,9.99,18,1,Found better alternative,179.82,9,High
CUST-0020,2024-12-09,2026-05-03,Premium,29.99,17,1,Other,509.83,8,Medium
CUST-0021,2024-10-20,,Standard,19.99,4,0,N/A,79.96,9,Medium
CUST-0022,2024-07-10,,Premium,29.99,23,0,N/A,689.77,5,Low
CUST-0023,2024-10-03,2025-12-27,Basic,9.99,15,1,Found better alternative,149.85,6,High
CUST-0024,2024-06-09,,Standard,19.99,11,0,N/A,219.89,2,Low
CUST-0025,2024-11-09,,Basic,9.99,3,0,N/A,29.97,8,High
CUST-0026,2024-01-22,2024-04-21,Standard,19.99,3,1,Found better alternative,59.97,7,High
CUST-0027,2024-09-09,,Basic,9.99,16,0,N/A,159.84,2,High
CUST-0028,2024-08-23,,Basic,9.99,5,0,N/A,49.95,9,Medium
CUST-0029,2024-12-10,,Basic,9.99,21,0,N/A,209.79,6,High
CUST-0030,2024-02-18,,Standard,19.99,10,0,N/A,199.9,8,Low
CUST-0031,2024-02-28,,Basic,9.99,19,0,N/A,189.81,8,High
CUST-0032,2024-06-18,2024-10-16,Standard,19.99,4,1,Poor customer service,79.96,8,Low
CUST-0033,2024-07-06,,Premium,29.99,19,0,N/A,569.81,4,Medium
CUST-0034,2024-09-27,,Basic,9.99,11,0,N/A,109.89,1,High
CUST-0035,2024-07-08,2024-09-06,Standard,19.99,2,1,Price too high,39.98,1,Low
CUST-0036,2024-06-23,,Basic,9.99,10,0,N/A,99.9,5,High
CUST-0037,2024-02-20,,Premium,29.99,11,0,N/A,329.89,4,High
CUST-0038,2024-12-29,2026-08-21,Basic,9.99,20,1,Price too high,199.8,9,Medium
CUST-0039,2024-02-24,2025-06-18,Standard,19.99,16,1,Poor customer service,319.84,9,Low
CUST-0040,2024-08-31,,Premium,29.99,19,0,N/A,569.81,5,Low
CUST-0041,2024-11-15,2026-10-06,Premium,29.99,23,1,Price too high,689.77,2,Medium
CUST-0042,2024-05-10,,Standard,19.99,11,0,N/A,219.89,8,High
CUST-0043,2024-11-02,2025-12-27,Basic,9.99,14,1,Found better alternative,139.86,3,Medium
CUST-0044,2024-05-14,,Standard,19.99,2,0,N/A,39.98,1,Medium
CUST-0045,2024-01-21,2025-12-11,Premium,29.99,23,1,Found better alternative,689.77,7,Low
CUST-0046,2024-11-24,,Standard,19.99,5,0,N/A,99.95,1,Medium
CUST-0047,2024-06-15,,Basic,9.99,5,0,N/A,49.95,2,High
CUST-0048,2024-09-30,,Premium,29.99,19,0,N/A,569.81,7,Medium
CUST-0049,2024-03-29,,Standard,19.99,21,0,N/A,419.79,2,High
CUST-0050,2024-11-11,2025-11-06,Standard,19.99,12,1,Other,239.88,0,Medium
CUST-0051,2024-01-14,,Basic,9.99,18,0,N/A,179.82,2,Medium
CUST-0052,2024-08-29,,Standard,19.99,4,0,N/A,79.96,4,Low
CUST-0053,2024-09-21,,Basic,9.99,22,0,N/A,219.78,3,Medium
CUST-0054,2024-12-11,,Standard,19.99,17,0,N/A,339.83,3,Medium
CUST-0055,2024-02-22,2024-12-18,Basic,9.99,10,1,Poor customer service,99.9,7,Low
CUST-0056,2024-12-05,2026-07-28,Standard,19.99,20,1,Other,399.8,4,High
CUST-0057,2024-04-01,,Premium,29.99,6,0,N/A,179.94,3,Medium
CUST-0058,2024-09-20,2025-11-14,Basic,9.99,14,1,No longer needed,139.86,8,Medium
CUST-0059,2024-02-04,2024-12-30,Premium,29.99,11,1,Price too high,329.89,9,Medium
CUST-0060,2024-07-24,,Basic,9.99,11,0,N/A,109.89,6,Medium
CUST-0061,2024-03-21,,Premium,29.99,18,0,N/A,539.82,2,Low
